"","firm","longitude","latitude","collected"
"326","starbucks",-105.105959,40.188548,2008
"327","starbucks",-105.10767,39.564099,2008
"328","starbucks",-105.10841,39.624065,2008
"329","starbucks",-105.10905,39.739824,2008
"330","starbucks",-105.10926,39.802202,2008
"331","starbucks",-105.10952,39.790574,2008
"332","starbucks",-105.109536,40.408334,2008
"333","starbucks",-105.109991,39.769099,2008
"334","starbucks",-105.110148,39.786854,2008
"335","starbucks",-105.110853,39.688218,2008
"336","starbucks",-105.116417,40.554254,2008
"337","starbucks",-105.117115,39.690759,2008
"338","starbucks",-105.120106,40.149826,2008
"339","starbucks",-105.120193,40.149738,2008
"340","starbucks",-105.123647,39.682099,2008
"341","starbucks",-105.124362,39.931402,2008
"342","starbucks",-105.130474,40.188594,2008
"343","starbucks",-105.130607,39.581709,2008
"344","starbucks",-105.13065,40.159194,2008
"345","starbucks",-105.130844,40.138624,2008
"346","starbucks",-105.130922,40.175222,2008
"347","starbucks",-105.130937,40.177952,2008
"348","starbucks",-105.1326,39.929644,2008
"349","starbucks",-105.132778,39.71382,2008
"350","starbucks",-105.1348,39.579277,2008
"351","starbucks",-105.135071,39.580225,2008
"352","starbucks",-105.135474,39.707424,2008
"353","starbucks",-105.136757,39.812646,2008
"354","starbucks",-105.138593,39.928957,2008
"355","starbucks",-105.140854,39.763995,2008
"356","starbucks",-105.141293,39.811958,2008
"357","starbucks",-105.142493,39.761924,2008
"358","starbucks",-105.14609,39.695971,2008
"359","starbucks",-105.15328,39.928963,2008
"360","starbucks",-105.15718,39.733333,2008
"361","starbucks",-105.159154,39.73499,2008
"362","starbucks",-105.165937,39.979823,2008
"363","starbucks",-105.169846,39.955666,2008
"364","starbucks",-105.193503,39.73896,2008
"365","starbucks",-105.215779,39.752023,2008
"366","starbucks",-105.220131,39.75461,2008
"367","starbucks",-105.234136,39.998207,2008
"368","starbucks",-105.234359,39.767079,2008
"369","starbucks",-105.252039,39.98346,2008
"370","starbucks",-105.252672,40.015027,2008
"371","starbucks",-105.253584,40.016043,2008
"372","starbucks",-105.255388,40.018753,2008
"373","starbucks",-105.256598,40.021674,2008
"374","starbucks",-105.258939,40.021828,2008
"375","starbucks",-105.25965,40.014006,2008
"376","starbucks",-105.259686,40.035336,2008
"377","starbucks",-105.262928,39.999857,2008
"378","starbucks",-105.276595,40.018896,2008
"379","starbucks",-105.276823,40.010584,2008
"380","starbucks",-105.291716,39.544008,2008
"381","starbucks",-105.30455,39.53185,2008
"382","starbucks",-105.305977,39.526875,2008
"383","starbucks",-105.329647,39.697714,2008
"384","starbucks",-105.358269,39.693179,2008
"385","starbucks",-105.3586,39.6459,2008
"386","starbucks",-105.48866,39.799625,2008
"387","starbucks",-105.493937,44.2708,2008
"388","starbucks",-105.494038,44.283715,2008
"389","starbucks",-105.49741,39.742274,2008
"390","starbucks",-105.518399,40.377092,2008
"391","starbucks",-105.530365,40.380348,2008
"392","starbucks",-105.537376,50.391611,2008
"393","starbucks",-105.556454,41.308968,2008
"394","starbucks",-105.592925,41.317206,2008
"395","starbucks",-105.59969,39.7647,2008
"396","starbucks",-105.678082,33.332434,2008
"397","starbucks",-105.760276,53.18595,2008
"398","starbucks",-105.762,39.8856,2008
"399","starbucks",-105.8166,39.945,2008
"400","starbucks",-105.875755,37.468184,2008
"401","starbucks",-105.929,40.0632,2008
"402","starbucks",-105.939928,35.687348,2008
"403","starbucks",-105.95081,35.691288,2008
"404","starbucks",-105.951076,35.693962,2008
"405","starbucks",-105.95591,35.629585,2008
"406","starbucks",-106.006838,35.646067,2008
"407","starbucks",-106.011741,35.640571,2008
"408","starbucks",-106.012205,35.64165,2008
"409","starbucks",-106.045788,39.479484,2008
"410","starbucks",-106.049854,39.630027,2008
"411","starbucks",-106.05057,39.629295,2008
"412","starbucks",-106.101323,39.575213,2008
"413","starbucks",-106.101906,39.5752,2008
"414","starbucks",-106.13542,39.74165,2008
"415","starbucks",-106.190834,39.38505,2008
"416","starbucks",-106.191297,35.061665,2008
"417","starbucks",-106.267279,31.759334,2008
"418","starbucks",-106.268783,31.759678,2008
"419","starbucks",-106.270122,42.846972,2008
"420","starbucks",-106.274934,42.848876,2008
"421","starbucks",-106.301307,35.881467,2008
"422","starbucks",-106.302927,31.724176,2008
"423","starbucks",-106.319536,31.767769,2008
"424","starbucks",-106.369526,42.820872,2008
"425","starbucks",-106.37231,39.5341,2008
"426","starbucks",-106.374145,39.641996,2008
"427","starbucks",-106.380936,31.774401,2008
"428","starbucks",-106.392648,31.77929,2008
"429","starbucks",-106.396065,31.798909,2008
"430","starbucks",-106.396065,31.798909,2008
"431","starbucks",-106.412852,31.785548,2008
"432","starbucks",-106.41541,39.56731,2008
"433","starbucks",-106.415415,39.567313,2008
"434","starbucks",-106.418579,39.628771,2008
"435","starbucks",-106.439047,31.900739,2008
"436","starbucks",-106.496888,35.131114,2008
"437","starbucks",-106.497984,35.068249,2008
"438","starbucks",-106.499156,35.152664,2008
"439","starbucks",-106.500486,31.77446,2008
"440","starbucks",-106.515301,35.099403,2008
"441","starbucks",-106.519653,39.633823,2008
"442","starbucks",-106.527908,35.085854,2008
"443","starbucks",-106.529961,31.829147,2008
"444","starbucks",-106.530924,35.131187,2008
"445","starbucks",-106.532574,35.071794,2008
"446","starbucks",-106.534913,35.115229,2008
"447","starbucks",-106.542734,35.317997,2008
"448","starbucks",-106.547703,35.129723,2008
"449","starbucks",-106.550202,35.147201,2008
"450","starbucks",-106.557359,35.174692,2008
"451","starbucks",-106.568658,35.101949,2008
"452","starbucks",-106.57247,31.839715,2008
"453","starbucks",-106.576254,31.861874,2008
"454","starbucks",-106.576541,31.865293,2008
"455","starbucks",-106.577955,35.17506,2008
"456","starbucks",-106.5823,35.172589,2008
"457","starbucks",-106.582459,35.131013,2008
"458","starbucks",-106.58315,35.058431,2008
"459","starbucks",-106.586207,35.151615,2008
"460","starbucks",-106.586218,35.10036,2008
"461","starbucks",-106.589029,35.105168,2008
"462","starbucks",-106.591081,35.165868,2008
